game,date,age,team,opp,result,mp,fg,fga,fgp,three,threeatt,threep,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,pts,game_score,minus_plus
35,2004-01-07,19-008,CLE,TOR,L (-6),38:00,10,23,.435,0,3,.000,1,2,.500,0,2,2,5,0,0,2,21,9.4,-2
36,2004-01-09,19-010,CLE,BOS,L (-25),43:00,7,19,.368,0,3,.000,5,7,.714,0,3,3,6,3,0,5,19,10.4,-30
37,2004-01-12,19-013,CLE,LAL,L (-10),37:00,6,20,.300,0,3,.000,4,5,.800,1,4,5,7,1,1,6,16,5.3,+3
38,2004-01-13,19-014,CLE,SEA,W (+8),44:00,11,26,.423,0,1,.000,5,6,.833,4,5,9,9,2,0,4,27,20.6,+11
39,2004-01-15,19-016,CLE,GSW,L (-17),43:00,8,21,.381,2,5,.400,11,13,.846,2,4,6,6,3,0,2,29,24.5,-14
40,2004-01-17,19-018,CLE,UTA,W (+6),45:00,12,28,.429,2,4,.500,3,5,.600,1,6,7,2,2,1,4,29,15.2,+8
41,2004-01-26,19-027,CLE,ORL,W (+1),30:00,7,19,.368,1,2,.500,1,2,.500,0,5,5,3,0,2,3,16,5.5,-10
42,2004-01-28,19-029,CLE,MIA,W (+1),44:00,10,25,.400,0,1,.000,7,10,.700,0,5,5,4,2,1,1,27,17.9,+2
43,2004-01-30,19-031,CLE,MIL,L (-6),37:00,7,25,.280,1,6,.167,5,8,.625,2,6,8,3,1,0,5,20,3.4,+3
44,2004-02-01,19-033,CLE,WAS,W (+4),43:00,14,27,.519,1,2,.500,9,11,.818,3,3,6,4,0,2,6,38,23.5,0
45,2004-02-03,19-035,CLE,DET,W (+3),38:00,5,19,.263,0,1,.000,2,2,1.000,1,3,4,6,2,0,1,12,6.7,-1
46,2004-02-04,19-036,CLE,LAL,L (-5),43:00,12,26,.462,4,4,1.000,4,5,.800,0,4,4,4,0,0,0,32,22.2,-2
47,2004-02-06,19-038,CLE,MIN,L (-11),44:00,6,18,.333,1,3,.333,1,4,.250,1,8,9,5,0,0,3,14,5.4,-16
48,2004-02-07,19-039,CLE,WAS,L (-18),34:00,6,16,.375,0,0,,2,2,1.000,0,0,0,6,4,1,3,14,10.3,-24
49,2004-02-09,19-041,CLE,BOS,W (+8),43:00,9,25,.360,1,6,.167,5,6,.833,0,6,6,3,2,1,1,24,14.1,+19
50,2004-02-11,19-043,CLE,NJN,L (-20),29:00,2,13,.154,0,1,.000,5,5,1.000,1,1,2,5,1,0,5,9,1.2,-12
51,2004-02-18,19-050,CLE,DAL,L (-16),34:00,6,12,.500,0,0,,4,4,1.000,2,2,4,9,0,1,5,16,13.2,-15
52,2004-02-20,19-052,CLE,SAS,W (+2),39:00,14,23,.609,0,0,,4,4,1.000,2,9,11,2,2,1,2,32,27.7,+3
53,2004-02-22,19-054,CLE,NYK,W (+6),44:00,7,20,.350,0,0,,8,12,.667,1,4,5,3,1,0,1,22,12.4,+11
54,2004-02-23,19-055,CLE,NOH,W (+4),36:00,7,16,.438,1,5,.200,6,6,1.000,0,4,4,6,2,5,1,21,21.3,+4
55,2004-02-25,19-057,CLE,HOU,L (-6),39:00,5,18,.278,0,2,.000,1,3,.333,2,5,7,5,2,1,2,11,6.3,-5
56,2004-02-27,19-059,CLE,ORL,W (+5),49:00,11,19,.579,1,1,1.000,7,8,.875,1,10,11,3,3,1,5,30,24.8,+7
57,2004-03-01,19-062,CLE,CHI,L (-11),41:00,7,17,.412,0,2,.000,4,6,.667,0,3,3,3,4,1,3,18,12.0,-4
58,2004-03-03,19-064,CLE,ATL,W (+32),28:00,9,17,.529,1,2,.500,5,6,.833,1,6,7,3,1,1,1,24,20.6,+22
59,2004-03-05,19-066,CLE,NOH,W (+3),37:00,7,17,.412,2,2,1.000,3,4,.750,2,4,6,4,2,0,4,19,10.9,+1
60,2004-03-06,19-067,CLE,MIL,W (+9),43:00,11,24,.458,0,3,.000,2,3,.667,2,5,7,10,4,1,2,24,22.6,+9
61,2004-03-08,19-069,CLE,ATL,W (+6),45:00,11,23,.478,1,4,.250,11,13,.846,2,4,6,7,1,0,2,34,27.6,+11
62,2004-03-10,19-071,CLE,TOR,W (+14),34:00,4,13,.308,0,0,,6,7,.857,1,2,3,4,1,0,2,14,8.4,+16
63,2004-03-14,19-075,CLE,IND,W (+3),44:00,12,22,.545,0,2,.000,2,4,.500,0,3,3,4,3,1,4,26,16.8,+5
64,2004-03-16,19-077,CLE,CHI,W (+24),32:00,5,16,.313,2,3,.667,5,8,.625,3,2,5,8,0,5,4,17,14.0,+24
65,2004-03-19,19-080,CLE,UTA,L (-9),33:00,4,14,.286,0,2,.000,6,10,.600,0,0,0,7,2,1,2,14,8.6,-2
66,2004-03-21,19-082,CLE,DET,L (-20),36:00,5,17,.294,1,4,.250,4,5,.800,2,5,7,3,0,2,4,15,5.5,-21
67,2004-03-23,19-084,CLE,PHO,L (-17),42:00,8,21,.381,2,5,.400,7,9,.778,1,1,2,6,3,1,5,25,16.6,-12
68,2004-03-26,19-087,CLE,PHI,L (-15),33:00,5,13,.385,1,2,.500,5,9,.556,2,1,3,7,0,1,5,16,9.2,-24
69,2004-03-27,19-088,CLE,NJN,W (+3),43:00,15,29,.517,1,2,.500,10,10,1.000,2,4,6,13,3,0,2,41,39.0,+10
70,2004-03-29,19-090,CLE,SAS,L (-8),32:00,9,20,.450,0,1,.000,0,0,,0,2,2,4,0,1,2,18,9.7,-14
71,2004-03-30,19-091,CLE,DAL,L (-17),42:00,13,22,.591,0,2,.000,2,4,.500,1,4,5,6,4,0,3,28,23.3,-10
72,2004-04-02,19-094,CLE,MIL,L (-18),36:00,9,19,.474,0,0,,2,2,1.000,0,7,7,7,5,0,5,20,16.1,-13
73,2004-04-03,19-095,CLE,GSW,L (-3),46:00,12,28,.429,3,5,.600,7,11,.636,3,5,8,10,1,1,3,34,26.5,-3
74,2004-04-06,19-098,CLE,TOR,L (-1),46:00,5,17,.294,0,0,,11,14,.786,1,5,6,4,3,0,3,21,14.1,+2
75,2004-04-07,19-099,CLE,MEM,L (-18),36:00,4,11,.364,0,0,,6,7,.857,0,3,3,5,3,0,2,14,11.3,-11
76,2004-04-09,19-101,CLE,MIA,L (-15),42:00,6,14,.429,1,1,1.000,11,15,.733,1,6,7,8,1,0,8,24,15.3,-16
77,2004-04-10,19-102,CLE,MIA,W (+11),32:00,4,11,.364,0,2,.000,2,5,.400,1,2,3,11,0,0,2,10,8.5,+14
78,2004-04-12,19-104,CLE,MIL,W (+4),45:00,9,20,.450,1,4,.250,8,11,.727,1,6,7,9,2,0,1,27,24.8,+11
79,2004-04-14,19-106,CLE,NYK,W (+10),35:00,8,17,.471,0,3,.000,1,1,1.000,0,1,1,5,3,0,5,17,9.7,-6
1,2004-11-03,19-309,CLE,IND,L (-5),50:00,8,19,.421,2,5,.400,10,12,.833,1,4,5,8,1,3,6,28,20.9,-10
2,2004-11-04,19-310,CLE,MIA,L (-6),43:00,9,22,.409,2,3,.667,1,1,1.000,3,3,6,8,1,0,1,21,17.8,-8
3,2004-11-06,19-312,CLE,MIL,L (-14),42:00,8,20,.400,0,3,.000,15,22,.682,2,6,8,6,3,0,4,31,23.8,-12
4,2004-11-09,19-315,CLE,ATL,W (+14),48:00,8,17,.471,1,4,.250,8,12,.667,1,9,10,4,4,2,3,25,22.5,+14
5,2004-11-10,19-316,CLE,PHO,W (+5),48:00,13,24,.542,1,2,.500,11,12,.917,3,7,10,6,3,3,3,38,36.1,+14
6,2004-11-13,19-319,CLE,WAS,W (+31),38:00,10,20,.500,0,3,.000,4,5,.800,1,8,9,4,3,2,4,24,19.9,+25
7,2004-11-15,19-321,CLE,GSW,W (+11),42:00,12,22,.545,3,5,.600,6,8,.750,2,10,12,4,2,1,1,33,30.1,+15
8,2004-11-18,19-324,CLE,CHA,W (+17),30:00,8,14,.571,2,3,.667,1,2,.500,1,5,6,9,0,0,1,19,18.3,+21
9,2004-11-20,19-326,CLE,CHA,W (+16),38:00,11,20,.550,0,2,.000,3,4,.750,5,3,8,2,3,1,7,25,17.5,+24
10,2004-11-21,19-327,CLE,NYK,L (-10),40:00,5,15,.333,1,3,.333,2,3,.667,2,7,9,10,1,1,5,13,10.1,+1
11,2004-11-24,19-330,CLE,DET,W (+16),38:00,15,22,.682,2,3,.667,11,12,.917,3,3,6,5,3,1,3,43,39.2,+12
12,2004-11-26,19-332,CLE,BOS,W (+2),43:00,9,13,.692,0,2,.000,2,3,.667,0,6,6,8,3,1,2,20,22.4,+6
13,2004-11-27,19-333,CLE,CHI,W (+22),32:00,11,17,.647,1,2,.500,3,4,.750,1,6,7,7,1,0,2,26,24.5,+25
14,2004-11-29,19-335,CLE,LAC,L (-12),42:00,9,19,.474,0,2,.000,4,5,.800,1,6,7,5,6,1,3,22,20.8,-16
15,2004-12-01,19-337,CLE,PHO,L (-19),40:00,6,19,.316,0,2,.000,3,4,.750,1,2,3,6,2,1,6,15,5.1,-17
16,2004-12-02,19-338,CLE,DEN,W (+19),41:00,8,17,.471,0,0,,1,2,.500,1,7,8,9,2,1,5,17,13.5,+23
17,2004-12-04,19-340,CLE,TOR,W (+8),43:00,10,17,.588,1,3,.333,6,7,.857,0,6,6,10,2,1,3,27,26.4,+15
18,2004-12-07,19-343,CLE,NJN,W (+6),46:00,11,22,.500,0,1,.000,5,6,.833,0,2,2,8,3,0,3,27,20.2,+6
19,2004-12-08,19-344,CLE,CHI,L (-28),38:00,5,15,.333,0,2,.000,9,12,.750,0,2,2,6,1,1,4,19,11.0,-22
20,2004-12-11,19-347,CLE,SAS,L (-19),42:00,10,19,.526,1,3,.333,2,2,1.000,3,3,6,10,4,0,3,23,23.9,-18
21,2004-12-13,19-349,CLE,MEM,W (+6),46:00,14,22,.636,1,3,.333,2,4,.500,0,5,5,8,7,0,3,31,30.7,+10
22,2004-12-15,19-351,CLE,POR,W (+24),37:00,10,18,.556,2,3,.667,3,3,1.000,2,9,11,7,3,2,3,25,26.4,+18
23,2004-12-16,19-352,CLE,DET,L (-12),45:00,4,21,.190,0,2,.000,3,5,.600,1,8,9,7,4,1,3,11,6.0,-8
24,2004-12-18,19-354,CLE,BOS,L (-7),40:00,12,25,.480,3,5,.600,4,8,.500,1,4,5,4,3,1,4,31,18.7,-1
25,2004-12-21,19-357,CLE,MIN,W (+10),43:00,10,18,.556,0,1,.000,6,8,.750,0,6,6,12,1,0,2,26,25.0,+13
26,2004-12-22,19-358,CLE,NJN,L (-2),42:00,7,18,.389,1,1,1.000,8,10,.800,1,8,9,9,1,0,4,23,18.0,-3
27,2004-12-26,19-362,CLE,NOH,W (+9),45:00,7,16,.438,0,1,.000,8,9,.889,1,8,9,14,4,1,5,22,25.0,+8
28,2004-12-28,19-364,CLE,ATL,W (+9),46:00,13,25,.520,3,5,.600,11,14,.786,1,8,9,7,1,0,1,40,33.7,+8
29,2004-12-29,19-365,CLE,HOU,L (-11),17:00,0,5,.000,0,1,.000,3,5,.600,0,3,3,5,0,0,0,3,3.1,-10
30,2005-01-03,20-004,CLE,CHA,W (+11),41:00,11,19,.579,0,3,.000,4,6,.667,2,6,8,6,2,0,1,26,23.5,+14
31,2005-01-05,20-006,CLE,ATL,W (+16),40:00,7,14,.500,2,5,.400,4,6,.667,1,5,6,9,1,1,2,20,18.8,+10
32,2005-01-08,20-009,CLE,NYK,W (+25),32:00,10,14,.714,0,0,,2,2,1.000,1,2,3,4,0,2,8,22,12.9,+5
33,2005-01-11,20-012,CLE,CHA,W (+2),49:00,11,24,.458,2,5,.400,5,7,.714,1,7,8,9,2,1,8,29,19.2,+7
34,2005-01-13,20-014,CLE,LAL,L (-4),44:00,12,26,.462,1,4,.250,3,4,.750,3,10,13,9,1,1,4,28,22.9,-1
35,2005-01-15,20-016,CLE,UTA,W (+13),41:00,9,20,.450,0,1,.000,9,14,.643,1,7,8,5,5,0,3,27,22.1,+11
36,2005-01-16,20-017,CLE,SEA,L (-8),44:00,14,30,.467,3,7,.429,4,6,.667,2,3,5,11,4,1,1,35,30.9,-7
37,2005-01-19,20-020,CLE,POR,W (+6),44:00,11,16,.688,1,1,1.000,4,6,.667,1,10,11,10,4,0,2,27,30.5,0
38,2005-01-20,20-021,CLE,SAC,L (-27),37:00,9,19,.474,0,1,.000,0,1,.000,1,7,8,6,1,0,3,18,12.9,-24
39,2005-01-22,20-023,CLE,GSW,W (+18),43:00,13,24,.542,0,1,.000,2,2,1.000,1,11,12,10,1,1,3,28,25.7,+19
40,2005-01-24,20-025,CLE,WAS,L (-9),48:00,12,26,.462,1,1,1.000,6,10,.600,4,6,10,8,2,1,5,31,22.7,-9
41,2005-01-26,20-027,CLE,MEM,W (+3),42:00,10,16,.625,4,6,.667,3,4,.750,1,8,9,15,3,2,5,27,32.0,+7
42,2005-02-01,20-033,CLE,ORL,L (-3),43:00,10,20,.500,0,3,.000,8,13,.615,2,3,5,7,0,1,3,28,20.1,-3
43,2005-02-03,20-035,CLE,MIA,L (-12),46:00,11,23,.478,1,3,.333,8,12,.667,2,0,2,10,3,0,2,31,26.3,-8
44,2005-02-05,20-037,CLE,ORL,W (+9),45:00,9,21,.429,0,3,.000,12,13,.923,0,6,6,9,2,0,1,30,26.8,+10
45,2005-02-08,20-040,CLE,TOR,W (+13),36:00,6,14,.429,0,3,.000,3,4,.750,1,7,8,11,3,0,2,15,18.3,+15
46,2005-02-11,20-043,CLE,DEN,L (-5),43:00,12,29,.414,1,6,.167,10,12,.833,2,4,6,6,1,0,4,35,21.7,-13
47,2005-02-13,20-045,CLE,LAL,W (+14),46:00,8,20,.400,0,0,,9,10,.900,2,6,8,9,3,1,3,25,22.8,+9
48,2005-02-16,20-048,CLE,ATL,W (+22),37:00,11,20,.550,2,2,1.000,4,5,.800,0,5,5,6,3,0,3,28,23.7,+27
49,2005-02-17,20-049,CLE,MIN,L (-6),41:00,10,19,.526,1,2,.500,5,6,.833,2,5,7,8,1,0,2,26,23.8,-1
50,2005-02-23,20-055,CLE,CHI,W (+9),44:00,8,17,.471,1,1,1.000,10,15,.667,1,5,6,11,5,0,3,27,27.4,+7
51,2005-02-25,20-057,CLE,IND,L (-24),41:00,9,25,.360,0,1,.000,3,4,.750,3,4,7,5,2,1,2,21,14.2,-11
52,2005-02-27,20-059,CLE,NJN,L (-6),45:00,9,20,.450,1,2,.500,9,10,.900,1,3,4,7,2,0,5,28,19.1,-10
53,2005-02-28,20-060,CLE,SAS,L (-2),45:00,6,22,.273,1,4,.250,7,10,.700,1,7,8,7,0,0,2,20,10.3,+2
54,2005-03-02,20-062,CLE,SEA,L (-17),41:00,11,20,.550,5,7,.714,5,8,.625,0,5,5,5,0,0,4,32,21.4,-7
55,2005-03-04,20-064,CLE,PHI,L (-9),40:00,12,21,.571,0,1,.000,10,12,.833,1,6,7,7,4,0,6,34,28.3,-10
56,2005-03-06,20-066,CLE,MIA,L (-20),41:00,9,19,.474,0,1,.000,5,7,.714,0,4,4,5,2,0,1,23,17.8,-17
57,2005-03-08,20-068,CLE,ORL,W (+19),40:00,9,22,.409,2,6,.333,3,4,.750,0,7,7,8,1,1,1,23,18.0,+18
58,2005-03-13,20-073,CLE,IND,W (+12),44:00,12,23,.522,1,5,.200,10,11,.909,2,3,5,5,1,0,4,35,25.7,+12
59,2005-03-15,20-075,CLE,UTA,W (+19),35:00,11,15,.733,2,5,.400,12,16,.750,2,7,9,2,0,1,1,36,32.5,+22
60,2005-03-16,20-076,CLE,MIL,L (-8),45:00,13,26,.500,4,9,.444,4,7,.571,1,6,7,6,1,0,5,34,22.5,-14
61,2005-03-18,20-078,CLE,PHI,L (-12),46:00,3,20,.150,0,4,.000,10,12,.833,0,8,8,8,4,0,4,16,10.4,-8
62,2005-03-20,20-080,CLE,TOR,L (-7),48:00,18,36,.500,6,12,.500,14,15,.933,2,8,10,5,2,0,4,56,42.9,-7
63,2005-03-22,20-082,CLE,DET,W (+15),43:00,11,24,.458,2,7,.286,5,8,.625,1,5,6,6,1,0,0,29,22.4,+21
64,2005-03-24,20-084,CLE,HOU,L (-19),42:00,7,22,.318,1,4,.250,4,7,.571,0,4,4,8,1,0,2,19,10.6,-17
65,2005-03-26,20-086,CLE,DAL,L (-31),36:00,7,17,.412,0,2,.000,5,6,.833,1,3,4,6,0,0,3,19,11.9,-24
66,2005-03-28,20-088,CLE,NOH,W (+1),53:00,16,29,.552,3,10,.300,9,11,.818,2,4,6,3,4,0,10,44,26.8,+1
67,2005-03-29,20-089,CLE,LAC,W (+10),41:00,7,20,.350,2,8,.250,6,7,.857,0,7,7,5,2,1,1,22,17.7,+11
68,2005-03-31,20-091,CLE,CHI,L (-12),53:00,10,28,.357,1,4,.250,5,11,.455,4,2,6,7,4,2,3,26,16.7,-12
69,2005-04-01,20-092,CLE,SAC,L (-19),44:00,13,21,.619,2,4,.500,7,10,.700,0,8,8,9,2,0,7,35,27.2,-15
70,2005-04-03,20-094,CLE,DAL,W (+20),48:00,10,23,.435,4,8,.500,13,13,1.000,2,8,10,7,2,1,6,37,29.1,+20
71,2005-04-05,20-096,CLE,NJN,L (-31),40:00,9,19,.474,3,6,.500,3,6,.500,2,7,9,4,2,2,6,24,16.0,-21
72,2005-04-06,20-097,CLE,IND,L (-21),33:00,9,18,.500,0,3,.000,2,4,.500,2,2,4,3,1,0,2,20,12.5,-15
73,2005-04-08,20-099,CLE,PHI,L (-5),48:00,12,30,.400,2,6,.333,11,11,1.000,4,9,13,7,5,0,5,37,30.8,-5
74,2005-04-09,20-100,CLE,MIL,W (+17),47:00,15,26,.577,7,13,.538,3,3,1.000,1,9,10,10,2,1,3,40,37.1,+13
75,2005-04-11,20-102,CLE,ORL,W (+8),48:00,12,23,.522,1,6,.167,8,10,.800,1,6,7,6,5,1,2,33,29.7,+8
76,2005-04-14,20-105,CLE,NYK,L (-6),42:00,7,25,.280,4,13,.308,9,14,.643,1,17,18,7,2,2,4,27,19.2,+1
77,2005-04-15,20-106,CLE,WAS,L (-8),48:00,16,33,.485,1,6,.167,5,8,.625,2,4,6,6,1,0,1,38,25.7,-8
78,2005-04-17,20-108,CLE,DET,L (-3),45:00,12,35,.343,2,7,.286,11,14,.786,3,8,11,6,0,1,1,37,24.5,-6
79,2005-04-19,20-110,CLE,BOS,W (+14),47:00,13,27,.481,2,3,.667,4,5,.800,1,7,8,6,5,0,3,32,25.7,+13
80,2005-04-20,20-111,CLE,TOR,W (+9),48:00,10,23,.435,2,8,.250,5,10,.500,2,12,14,14,0,1,2,27,26.0,+9
1,2005-11-02,20-307,CLE,NOK,W (+22),33:23,9,16,.563,6,7,.857,7,8,.875,1,2,3,4,2,0,3,31,24.9,+22
2,2005-11-04,20-309,CLE,SAS,L (-26),36:34,7,16,.438,0,3,.000,6,7,.857,0,6,6,4,0,1,3,20,12.3,-19
3,2005-11-05,20-310,CLE,MEM,L (-7),40:51,14,29,.483,4,9,.444,4,5,.800,0,2,2,6,2,0,2,36,24.9,-3
4,2005-11-07,20-312,CLE,TOR,W (+12),36:28,9,17,.529,0,2,.000,9,12,.750,0,3,3,6,1,2,1,27,22.8,0
5,2005-11-09,20-314,CLE,SEA,W (+27),35:38,10,18,.556,0,2,.000,11,11,1.000,1,4,5,1,0,1,4,31,21.3,+25
6,2005-11-11,20-316,CLE,MEM,W (+19),25:40,5,11,.455,0,1,.000,6,6,1.000,1,5,6,2,3,1,3,16,12.6,+24
7,2005-11-13,20-318,CLE,ORL,W (+8),48:54,9,20,.450,1,4,.250,7,11,.636,0,5,5,3,0,1,2,26,15.5,+7
8,2005-11-15,20-320,CLE,WAS,W (+15),42:26,15,23,.652,2,3,.667,5,5,1.000,1,9,10,4,0,2,3,37,31.1,+17
9,2005-11-18,20-323,CLE,ORL,W (+18),33:56,6,17,.353,0,3,.000,4,6,.667,1,5,6,4,2,0,4,16,7.9,+25
10,2005-11-19,20-324,CLE,PHI,W (+3),46:51,14,24,.583,0,2,.000,8,10,.800,2,9,11,10,1,1,5,36,31.4,+8
11,2005-11-22,20-327,CLE,BOS,W (+22),40:59,13,20,.650,1,3,.333,9,11,.818,0,5,5,4,2,2,1,36,31.5,+14
12,2005-11-24,20-329,CLE,IND,L (-22),43:02,6,20,.300,0,4,.000,7,11,.636,1,9,10,4,5,1,6,19,10.1,-18
13,2005-11-26,20-331,CLE,MIN,L (-4),44:04,13,29,.448,6,11,.545,6,6,1.000,2,3,5,2,4,0,2,38,27.8,-3
14,2005-11-30,20-335,CLE,LAC,W (+7),49:56,7,20,.350,0,3,.000,14,17,.824,0,7,7,9,1,1,6,28,19.3,+6
15,2005-12-02,20-337,CLE,SEA,L (-7),45:07,14,27,.519,0,5,.000,6,8,.750,0,3,3,8,1,3,1,34,28.1,-2
16,2005-12-03,20-338,CLE,LAC,L (-12),44:41,8,25,.320,3,5,.600,11,14,.786,0,5,5,6,1,1,1,30,19.7,-11
17,2005-12-06,20-341,CLE,SAC,W (+5),44:19,10,23,.435,1,5,.200,9,12,.750,2,4,6,6,2,3,5,30,21.8,+3
18,2005-12-09,20-344,CLE,NJN,L (-9),44:49,11,26,.423,0,4,.000,10,15,.667,2,4,6,3,0,1,7,32,13.4,-4
19,2005-12-10,20-345,CLE,MIL,L (-5),42:48,19,29,.655,5,9,.556,9,10,.900,0,7,7,7,2,0,3,52,42.9,-3
20,2005-12-13,20-348,CLE,ATL,L (-6),45:08,13,23,.565,3,6,.500,10,16,.625,0,10,10,6,2,0,6,39,26.9,-4
21,2005-12-15,20-350,CLE,DEN,W (+9),45:06,11,18,.611,1,4,.250,3,6,.500,0,4,4,9,1,0,3,26,20.9,+16
22,2005-12-17,20-352,CLE,MIA,W (+8),46:23,12,19,.632,2,4,.500,15,16,.938,0,5,5,10,1,0,4,41,36.4,+9
23,2005-12-20,20-355,CLE,UTA,W (+25),28:55,8,12,.667,1,1,1.000,8,9,.889,2,4,6,4,3,2,5,25,23.8,+20
24,2005-12-22,20-357,CLE,CHI,W (+8),43:51,12,25,.480,4,6,.667,9,13,.692,0,5,5,6,4,0,2,37,29.6,+15
25,2005-12-23,20-358,CLE,IND,W (+5),43:51,4,16,.250,0,1,.000,6,11,.545,1,7,8,9,1,0,3,14,9.1,+1
26,2005-12-26,20-361,CLE,CHI,W (+11),44:58,12,25,.480,0,5,.000,8,12,.667,1,7,8,6,2,2,2,32,26.1,+14
27,2005-12-27,20-362,CLE,NJN,L (-5),40:18,12,21,.571,1,5,.200,6,9,.667,1,9,10,8,2,0,4,31,25.7,-2
28,2005-12-31,21-001,CLE,DET,W (+13),44:33,11,22,.500,2,5,.400,6,7,.857,1,6,7,7,4,1,5,30,24.9,+5
